cid|client_name|inbox_id|inbox_name|inbox_channel_type|is_contracted|is_active_in_period|conversations_count|messages_count|customer_messages_count|outgoing_messages_count|pct_account_messages|reconciliation_status
166396|Pastelería Antares Chat|543|Antares Página Web|WEB|S|N|0|0|0|0|0|ERR
166396|Pastelería Antares Chat|2441|Antares Facebook / Instagram|FB|S|N|0|0|0|0|0|ERR
99436|Meditek|848|WA 3315807804 Guadalajara|API|S|S|2|2|2|0|0.4|ERR
99436|Meditek|851|WA 4774540188 León|API|S|N|0|0|0|0|0|ERR
99436|Meditek|854|WA 7714540491 Pachuca|API|S|S|5|42|30|12|8.42|ERR
99436|Meditek|852|WA 2224540271 Puebla|API|S|S|2|11|10|1|2.2|ERR
99436|Meditek|853|WA 4424540693 Querétaro|API|S|S|4|23|15|8|4.61|ERR
99436|Meditek|847|WA 8001200176 General|API|S|N|0|0|0|0|0|ERR
99436|Meditek|850|WA 8163460428 Monterrey|API|S|S|5|81|52|29|16.23|ERR
99436|Meditek|862|WA 5589938509 CDMX|API|S|S|2|11|8|3|2.2|ERR
99436|Meditek|855|WA 7224541280 Toluca|API|S|S|6|53|33|20|10.62|ERR
99436|Meditek|856|WA 2294560105 Veracruz|API|S|S|5|276|154|122|55.31|ERR
161610|Bliss crédito libre|3127|~|~|S|N|0|0|~|~|~|SUSP
174954|Grupo SPH|3245|Sitio WEB SPH|WEB|S|N|0|0|0|0|0|OK
174954|Grupo SPH|3246|Grupo SPH|FB|S|S|30|125|57|68|3.05|OK
174954|Grupo SPH|3247|Comentarios Grupo SPH|API|S|N|0|0|0|0|0|OK
174954|Grupo SPH|3381|Leads WhatsApp|API|S|S|406|3980|1648|2332|96.95|OK
7|ETicket|4066|Eticket El Salvador|FB|N|S|2|51|18|33|8.64|OK
7|ETicket|4119|ETK SV WHASTASPP - CUSTOM API|API|N|S|42|539|287|252|91.36|OK
178133|Finsus Crédito|4211|Crédito al consumo|API|N|S|6|32|15|17|100|OK
147351|Renault Concordia Agencia del Sol|4194|Renault Concordia Del Sol|FB|N|S|7|18|11|7|0.15|ERR
147351|Renault Concordia Agencia del Sol|4262|WA API Renault del Sol|API|N|S|127|715|254|461|6.1|ERR
147351|Renault Concordia Agencia del Sol|4263|Renault Concordia Colima|FB|N|S|5|15|10|5|0.13|ERR
147351|Renault Concordia Agencia del Sol|4265|Renault Concordia Tepic|FB|N|S|43|249|122|127|2.13|ERR
147351|Renault Concordia Agencia del Sol|4266|Renault Puerto Vallarta|FB|N|S|2|31|17|14|0.26|ERR
147351|Renault Concordia Agencia del Sol|4268|WA Pto Vallarta|API|N|S|62|338|135|203|2.89|ERR
147351|Renault Concordia Agencia del Sol|4267|WA Tepic|API|N|S|51|239|69|170|2.04|ERR
147351|Renault Concordia Agencia del Sol|4271|WA API Colima|API|N|S|61|276|85|191|2.36|ERR
147351|Renault Concordia Agencia del Sol|4272|WA API Manzanillo|API|N|S|26|150|56|94|1.28|ERR
165379|FINSUS COBRANZA|2946|Correo cobranza|MAIL|N|S|3|3|3|0|100|OK
7|ETicket|4064|ETK GT WHASTASPP - CUSTOM API|API|N|S|687|6570|3888|2682|93.95|OK
7|ETicket|4065|Eticket Guatemala|FB|N|S|31|423|149|274|6.05|OK
7|ETicket|4058|ETK PA WHASTASPP - CUSTOM API|API|N|S|102|643|402|241|91.73|OK
7|ETicket|4059|Eticket Panamá|FB|N|S|1|58|23|35|8.27|OK
95890|Petroil|4030|Redpetroil|FB|N|S|28|69|37|32|1.9|ERR
160618|FullOffice.com|2965|Facebook FullOffice.com|FB|N|S|4|10|5|5|0.14|ERR
160618|FullOffice.com|4233|FullOffice.com / Enterprise|MAIL|N|S|17|30|8|22|0.41|ERR
7|ETicket|3933|ETK HN WHASTASPP - CUSTOM API|API|N|S|442|1053|1053|0|100|ERR
~|Medicall Expert|3952|Karla|API|N|S|190|3252|1520|1732|79.09|ERR
~|Medicall Expert|3954|C12|API|N|S|27|347|159|188|8.44|ERR
~|Medicall Expert|3826|Gisel|API|N|S|6|347|219|128|8.44|ERR
~|Medicall Expert|3961|C11|API|N|S|1|166|88|78|4.04|ERR
131107|Akún|1517|Desabilitado Carlos Madrid García|API|S|N|0|0|0|0|0|ERR
131107|Akún|1634|Eduardo Torres Luna|API|S|N|0|0|0|0|0|ERR
131107|Akún|1499|WhatsApp API Akún|API|S|N|0|0|0|0|0|ERR
131107|Akún|1505|Desabilitado Eduardo Torres Luna|API|S|N|0|0|0|0|0|ERR
131107|Akún|1531|María Alejandra Rodríguez Gz|API|S|N|0|0|0|0|0|ERR
131107|Akún|1351|Adriana Guadalupe Solis Solana|API|S|N|0|0|0|0|0|ERR
131107|Akún|1350|DESHABILITADO Ivette Rodríguez|API|S|N|0|0|0|0|0|ERR
131107|Akún|1533|Bloqueado Cristina|API|S|N|0|0|0|0|0|ERR
131107|Akún|1324|Tanya Alexa Delgado Olguin|API|S|N|0|0|0|0|0|ERR
131107|Akún|1406|DESHABILITADO Sandra Valdez González|API|S|N|0|0|0|0|0|ERR
131107|Akún|1387|Bloqueado Crisstina Depetris Mariano|API|S|N|0|0|0|0|0|ERR
131107|Akún|1373|Bloqueado Laidiane Cristina|API|S|N|0|0|0|0|0|ERR
131107|Akún|1308|DESHABILITADO Claudia Calcáneo Ceballos|API|S|N|0|0|0|0|0|ERR
131107|Akún|2150|Joany Salome Piña Chuil|API|S|N|0|0|0|0|0|ERR
131107|Akún|1443|Fuera Claudio Uribe Bastida|API|S|N|0|0|0|0|0|ERR
131107|Akún|1642|Linda Ix.chel Ramos Ojeda|API|S|N|0|0|0|0|0|ERR
131107|Akún|1651|Francisco Mendoza Pompas|API|S|N|0|0|0|0|0|ERR
131107|Akún|1653|Mónica Paredes Naranjo|API|S|N|0|0|0|0|0|ERR
131107|Akún|1633|Bloqueado Carlos Madrid Garcia|API|S|N|0|0|0|0|0|ERR
131107|Akún|1643|Ramiro Grajeda Valencia|API|S|N|0|0|0|0|0|ERR
131107|Akún|1646|Joao Loureiro Rodríguez|API|S|N|0|0|0|0|0|ERR
131107|Akún|1665|Ana del Rosario Tzec Avila|API|S|N|0|0|0|0|0|ERR
131107|Akún|1671|Maria del Rosario Otero Fernán|API|S|N|0|0|0|0|0|ERR
131107|Akún|1446|Bloqueado Cristina Depetris Mariano|API|S|N|0|0|0|0|0|ERR
131107|Akún|1430|deshabilitado Miguel Alejandro Flores Melo|API|S|N|0|0|0|0|0|ERR
131107|Akún|1431|Bloqueado Adriana Guadalupe Solis Solana|API|S|N|0|0|0|0|0|ERR
131107|Akún|1445|Alexandro Canto Aguilar|API|S|N|0|0|0|0|0|ERR
131107|Akún|1772|DESHABILITADO Carlos Madrid Garcia|API|S|N|0|0|0|0|0|ERR
131107|Akún|1317|DESHABILITADO Rubí Yamile Rivero Turriza|API|S|N|0|0|0|0|0|ERR
131107|Akún|3450|Silvia Ileana Cuellar Alemán|API|S|N|0|0|0|0|0|ERR
131107|Akún|2822|DESHABILITADO Natalia Guadalupe Krauss Solis|API|S|N|0|0|0|0|0|ERR
179547|Hope Medical Center|3810|FB SOS Enfermeria|FB|S|S|11|50|21|29|1.92|ERR
179547|Hope Medical Center|3808|SOS Comercial|API|S|S|333|1485|789|696|56.98|ERR
179547|Hope Medical Center|3809|FB HOPE Medical Center|FB|S|S|9|24|10|14|0.92|ERR
179547|Hope Medical Center|3839|Hope Comercial|API|S|N|0|0|0|0|0|ERR
179547|Hope Medical Center|4020|Yahaira comercial|API|S|S|101|1047|485|562|40.18|ERR
134571|Gas Economico Metropolitano Chat|494|WhatsApp|API|S|S|448|21316|8082|13234|100|OK
964|Colegio Banting|583|Guarderia Banting CDMX - 5556781429|API|N|S|1|7|4|3|0.14|ERR
167365|Dolcemia Restaurante|2508|Kippu MX|FB|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|2446|Dolce Mia Facebook|FB|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|2453|Dolcemia Web|WEB|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|2430|Arjona|API|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|2528|PRUEBA|API|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|3660|EVENTOS NUEVO|API|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|2466|CDV|API|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|2503|Montebello|API|S|N|0|0|0|0|0|ERR
167365|Dolcemia Restaurante|3449|Kippu-Arjona|API|S|S|20|400|168|232|100|ERR
172791|JAC Celaya|3199|JAC Celaya|API|S|N|0|0|0|0|0|ERR
172791|JAC Celaya|3211|Chirey Celaya|API|S|S|615|5323|2175|3148|100|ERR
172791|JAC Celaya|3530|MEGAWB|API|S|N|0|0|0|0|0|ERR
172791|JAC Celaya|3772|Rhianna|API|S|N|0|0|0|0|0|ERR
107625|LIV BIENES RAÍCES|1641|Liv Bienes Raíces 4424540684|API|S|N|0|0|0|0|0|OK
107625|LIV BIENES RAÍCES|1696|Venta y renta de casas en Querétaro|FB|S|N|0|0|0|0|0|OK
127282|SWSUPPLY|4115|V2 Daniel|API|N|S|250|2825|1279|1546|11.02|ERR
127282|SWSUPPLY|4235|Whatsapp Gerencia Comercial|API|N|S|23|1884|739|1145|7.35|ERR
29090|KUÁNTO|1215|WhatsApp|API|S|S|5|272|116|156|99.27|OK
29090|KUÁNTO|2820|Kuanto.mx|FB|S|S|0|2|2|0|0.73|OK
946|Salud y Hogar|3067|SOMNOX MX|API|S|N|0|0|0|0|0|ERR
946|Salud y Hogar|3070|~|~|S|N|0|0|0|0|0|ERR
946|Salud y Hogar|3103|NOON MX API|API|S|S|1|1|1|0|0.13|ERR
946|Salud y Hogar|3135|NOON MX|FB|S|N|0|0|0|0|0|ERR
946|Salud y Hogar|3620|Somnox Clínica De Sueño|FB|S|S|5|31|13|18|3.98|ERR
946|Salud y Hogar|3621|Salud y Hogar|FB|S|S|39|163|72|91|20.95|ERR
946|Salud y Hogar|3622|Empleos Salud y Hogar|FB|S|S|117|570|260|310|73.26|ERR
946|Salud y Hogar|3625|Somnox Es|FB|S|S|1|13|1|12|1.67|ERR
946|Salud y Hogar|3180|Empleos Salud y Hogar|API|S|N|0|0|0|0|0|ERR
946|Salud y Hogar|3635|Salud y Hogar API|API|S|N|0|0|0|0|0|ERR
946|Salud y Hogar|3118|Somnox España|API|S|N|0|0|0|0|0|ERR
946|Salud y Hogar|3532|Agente virtual|API|S|N|0|0|0|0|0|ERR
24924|Ancona Autopartes|3945|Ancona Autopartes WhatsApp|WA|S|S|18|735|354|381|100|OK
24924|Ancona Autopartes|2924|WhatsApp QR YA NO SE USA|API|S|N|0|0|0|0|0|OK
24924|Ancona Autopartes|3178|Ancona Autopartes Alemán|API|S|N|0|0|0|0|0|ERR
24924|Ancona Autopartes|3407|Ancona 20 Noviembre|API|S|N|0|0|0|0|0|OK
24924|Ancona Autopartes|3547|Ancona Periferico|API|S|S|41|149|135|14|100|OK
24924|Ancona Autopartes|3017|WA API Puerto Morelos 9982512959|API|S|N|0|0|0|0|0|OK
24924|Ancona Autopartes|3573|WhatsApp Canek 9995210176|API|S|N|0|0|0|0|0|ERR
24924|Ancona Autopartes|3104|Ancona Miraflores 9998503782|API|S|N|0|0|0|0|0|OK
24924|Ancona Autopartes|3339|Ancona Autopartes Cozumel|API|S|N|0|0|0|0|0|OK
24924|Ancona Autopartes|3105|Ancona Calle 50- 9994542372|API|S|N|0|0|0|0|0|ERR
68328|PROBEMEDIC|4102|Farmacias Business|API|N|S|426|1431|963|468|97.35|ERR
68328|PROBEMEDIC|4103|Farmacias Probemedic|FB|N|S|24|39|32|7|2.65|ERR
24924|Ancona Autopartes|4187|Aleman 9993712995|API|N|S|3|74|33|41|42.05|ERR
24924|Ancona Autopartes|4188|Calle50 9994542372|API|N|S|5|102|53|49|57.95|ERR
156117|Pet Forever|1465|WA 3315808700|API|S|N|0|0|0|0|0|ERR
156117|Pet Forever|2591|Fer atencion a clientes|API|S|N|0|0|0|0|0|OK
156117|Pet Forever|2573|Chofer Luis|API|S|N|0|0|0|0|0|OK
156117|Pet Forever|2577|Chofer Angel|API|S|N|0|0|0|0|0|OK
156117|Pet Forever|2578|Chofer Alejandro|API|S|N|0|0|0|0|0|OK
156117|Pet Forever|2579|Chofer Leonardo|API|S|N|0|0|0|0|0|OK
156117|Pet Forever|2576|Chofer Juan|API|S|N|0|0|0|0|0|OK
164794|Notaría Pública Dieciocho|3279|Notaria 1234|API|N|S|165|3409|1743|1666|69.54|OK
164794|Notaría Pública Dieciocho|3668|Notaría 18 Durango|FB|N|S|401|1493|862|631|30.46|OK
